,power,power
,total_capacity,number_of_charger
zipcode,,
1053 VD,22.0,1
1053 VG,22.0,1
1053 VX,11.0,1
1053 WS,11.0,1
1053 XB,11.0,1
1053 XD,22.0,1
1053 XE,11.0,1
1053 XZ,11.0,1
1053 ZE,11.0,1
1053 ZJ,11.0,1
1053 ZN,11.0,1
1053 ZW,22.0,1
1053 ZZ,11.0,1
1054 AB,11.0,1
1054 AH,55.0,3
1054 AN,11.0,1
1054 AW,11.0,1
1054 AX,11.0,1
1054 BG,22.0,1
1054 CE,33.0,2
1054 CT,22.0,1
1054 CW,22.0,2
1054 CX,11.0,1
1054 DB,11.0,1
1054 DN,11.0,1
1054 DR,22.0,1
1054 DT,11.0,1
1054 DW,11.0,1
1054 DZ,33.0,2
1054 EG,11.0,1
1054 EN,22.0,1
1054 EP,11.0,1
1054 ET,11.0,1
1054 EZ,11.0,1
1054 GG,11.0,1
1054 GK,11.0,1
1054 GL,11.0,1
1054 GN,11.0,1
1054 GX,11.0,1
1054 HX,11.0,1
1054 JB,11.0,1
1054 JJ,22.0,1
1054 JM,11.0,1
1054 KP,11.0,1
1054 KS,22.0,2
1054 KV,22.0,2
1054 KW,11.0,1
1054 LA,11.0,1
1054 LC,22.0,1
1054 LW,11.0,1
1054 LX,11.0,1
1054 LZ,11.0,1
1054 MA,22.0,2
1054 MG,11.0,1
1054 NB,44.0,3
1054 NE,11.0,1
1054 NV,22.0,2
1054 PS,11.0,1
1054 PT,11.0,1
1054 PV,11.0,1
1054 SC,11.0,1
1054 SN,11.0,1
1054 SZ,33.0,2
1054 TE,11.0,1
1054 TM,11.0,1
1054 TS,22.0,2
1054 TT,11.0,1
1054 TW,11.0,1
1054 VC,11.0,1
1054 VM,22.0,1
1054 VN,44.0,2
1054 VT,11.0,1
1054 VZ,22.0,2
1054 WG,22.0,1
1054 WH,11.0,1
1054 XE,22.0,1
1054 XG,11.0,1
1054 XH,11.0,1
1054 XK,22.0,2
1054 XL,22.0,1
1054 XN,11.0,1
1054 XS,11.0,1
1054 XT,11.0,1
1054 XV,11.0,1
1054 XZ,22.0,1
1054 ZB,22.0,2
1054 ZD,11.0,1
1054 ZG,22.0,1
1054 ZH,33.0,2
1054 ZP,11.0,1
1054 ZT,11.0,1
1055 AN,22.0,2
1055 AR,11.0,1
1055 BD,22.0,1
1055 BL,11.0,1
1055 BR,11.0,1
1055 BW,11.0,1
1055 CK,11.0,1
1055 CL,22.0,2
1055 CM,11.0,1
1055 DL,11.0,1
1055 DT,11.0,1
1055 EE,11.0,1
1055 EJ,11.0,1
1055 EN,22.0,1
1055 ET,22.0,2
1055 EX,11.0,1
1055 EZ,22.0,1
1055 GB,11.0,1
1055 GL,11.0,1
1055 GZ,22.0,2
1055 HD,22.0,1
1055 JA,11.0,1
1055 JD,11.0,1
1055 JL,11.0,1
1055 KT,22.0,1
1055 LD,11.0,1
1055 LE,11.0,1
1055 NK,11.0,1
1055 NM,11.0,1
1055 NN,22.0,1
1055 NR,11.0,1
1055 NX,22.0,1
1055 PE,11.0,1
1055 PJ,22.0,1
1055 PK,11.0,1
