,charger_ID,city,address,provider,latitude,longitude,operator,type,power,zipcode
391,7ADB1F1E-4F2E-4320-BD11-6223FC73A3D3,Amsterdam,Waalenburgsingel 190,TotalEnergie,52.393056,4.96203,TotalEnergie,AC,22,1024 EP
392,7adca933-4f63-4eb3-be0a-4c48dacd9f3b,Weesp,Sportparklaan 169,TotalEnergie,52.31453,5.03828,TotalEnergie,AC,22,1382 SB
393,7ae144ac-fadb-48d8-8ab5-3998d3c266c7,Amsterdam,Bilderdijkkade 30,TotalEnergie,52.369703,4.86857,TotalEnergie,AC,22,1053 VD
394,7b53451f-4328-415a-8a9d-ca081dd00341,Amsterdam,Ingenieur Jakoba Mulderplein 59,TotalEnergie,52.366088,4.924616,TotalEnergie,AC,22,1018 MZ
395,7baaae47-e2f2-403c-9eec-89ef5ddc21c5,Weesp,Achtergracht 34,TotalEnergie,52.30742,5.03881,TotalEnergie,AC,22,1381 BN
396,7bd0f3d9-868f-4d8c-a5fe-c6c724a9c19b,Amsterdam,Derde Oosterparkstraat 209,TotalEnergie,52.357688,4.921038,TotalEnergie,AC,22,1092 EA
397,7BD1B58E-1C47-464F-8E52-97E4AA82A234,Amsterdam,Jan Smitstraat 15,TotalEnergie,52.351311,4.800562,TotalEnergie,AC,22,1069 RR
398,7c0dac38-2d86-4ea8-bea3-3bdbaaf58b7e,Amsterdam,Van Ostadestraat 149,TotalEnergie,52.352677,4.895214,TotalEnergie,AC,22,1073 TK
399,7C4C15F9-3373-4E39-9345-2C4559B15D37,Amsterdam,De Wittenstraat 100,TotalEnergie,52.383031,4.878291,TotalEnergie,AC,22,1052 BA
400,7c6c999c-6958-443b-9517-699b244e7e08,Amsterdam,Eosstraat 118,TotalEnergie,52.346093,4.856249,TotalEnergie,AC,22,1076 DL
401,7c74b4eb-6eb8-410d-b5fc-da04e01edc47,Weesp,M.Dotingalaan 62,TotalEnergie,52.30149,5.050345,TotalEnergie,AC,22,1381 GD
402,7c9280e8-ba11-456c-ae88-d6443f0e299a,Amsterdam,Sporadenlaan 91,TotalEnergie,52.343785,4.791618,TotalEnergie,AC,22,1060 MN
403,7CC724EC-560C-409D-B916-24C2853026AA,Amsterdam,Elpermeer 6,TotalEnergie,52.401319,4.949196,TotalEnergie,AC,22,1025 AJ
404,7D31587D-B5DB-4C89-9A55-966C197FC0F7,Amsterdam,Borneokade 163,TotalEnergie,52.370646,4.942156,TotalEnergie,AC,22,1019 XD
405,7d7d3644-06af-443a-9524-740318679fff,Amsterdam,Maarten Harpertszoon Trompstraat 11,TotalEnergie,52.372166,4.860391,TotalEnergie,AC,22,1056 HT
406,7d9fbb39-b3ec-400b-a802-ba37d3e56641,Amsterdam,Max Planckstraat 23,TotalEnergie,52.351898,4.946003,TotalEnergie,AC,22,1098 TS
407,7e361d40-cd8c-4055-83e2-9232a34564df,Weesp,Muiderslotlaan 4,TotalEnergie,52.31812,5.04167,TotalEnergie,AC,22,1382
408,7E80AEB9-F8A2-429B-A699-D55353FD3E89,Amsterdam,IJdoornlaan 261,TotalEnergie,52.39325,4.956268,TotalEnergie,AC,22,1024 KM
409,7EECBEC6-7F5F-44D1-9D84-9148001B822B,Amsterdam,Dalsteindreef 328,TotalEnergie,52.326278,4.946934,TotalEnergie,AC,22,1102 WZ
410,7f03554d-8a00-4917-9b4d-fa70d98e7793,Amsterdam,Tugelaweg 91,TotalEnergie,52.354542,4.917082,TotalEnergie,AC,22,1091 VP
411,7f4b838b-3e34-481f-8327-79f00c8a88af,Amsterdam,Dinarpromenade 9,TotalEnergie,52.346584,4.783661,TotalEnergie,AC,22,1060 SH
412,7F5BCB0E-787F-43A6-A4A6-22751AD9BF92,Amsterdam,Govert Flinckstraat 106,TotalEnergie,52.35437,4.88973,TotalEnergie,AC,22,1072 EL
413,7f90dd64-fe9f-416b-88bf-9b376ac30af1,Amsterdam,Tweede Constantijn Huygensstraat 34,TotalEnergie,52.363292,4.873015,TotalEnergie,AC,22,1054 CT
414,80F62EF0-4451-465C-9C2A-38CE30950E3B,Amsterdam,Herengracht 546,TotalEnergie,52.364795,4.896674,TotalEnergie,AC,22,1017 CG
415,810f604f-8ae7-417e-8168-6545f0c2ef5c,Amsterdam,H.T. Zwiersplantsoen 35,TotalEnergie,52.372656,4.82077,TotalEnergie,AC,22,1064 DL
416,813CEC26-7CFA-4D6E-98EF-639AC694C010,Amsterdam,Duinlustpad 2,TotalEnergie,52.396072,4.951813,TotalEnergie,AC,22,1024 BV
417,816432C4-3F44-4A43-8606-0DFB2B9A3661,Amsterdam,Jacob Marisstraat 3,TotalEnergie,52.353806,4.852366,TotalEnergie,AC,22,1058 HW
418,8174DE83-2740-4FE6-A689-90DE11B0733F,Amsterdam,Diemerparklaan 27,TotalEnergie,52.356244,4.996554,TotalEnergie,AC,22,1087 GZ
419,81ec1350-dbbd-49f3-b87e-83a31abc302d,Amsterdam,Karel du Jardinstraat 4,TotalEnergie,52.35076,4.892928,TotalEnergie,AC,22,1072 SH
420,82074809-EAA3-4582-921D-B41C30929F14,Amsterdam,Geertje Wielemaplein 1,TotalEnergie,52.371063,4.968804,TotalEnergie,AC,22,1095 MM
421,825F3BEA-6275-4A05-8A4B-EC6F15E69BD4,Amsterdam,Nicolaas Beetsstraat 245,TotalEnergie,52.364199,4.866425,TotalEnergie,AC,22,1053 RL
422,82e54f92-4cbe-4750-a0aa-e4c07ed71781,Weesp,H.J. Hoflandlaan 1,TotalEnergie,52.303741,5.048681,TotalEnergie,AC,22,1381 EL
423,84069f4f-345b-44f6-9b0a-aeeacb89b239,Amsterdam,Orteliusstraat 302,TotalEnergie,52.373115,4.84766,TotalEnergie,AC,22,1056 PN
424,848ba28c-7a65-47f7-bb0a-d7a61f90ed38,Amsterdam,KNSM-Laan 109,TotalEnergie,52.377125,4.938783,TotalEnergie,AC,22,1019 LB
425,84BE091F-0CF0-47F4-ABE8-7FFECCA817B7,Amsterdam,Bredeweg 48,TotalEnergie,52.354532,4.93162,TotalEnergie,AC,22,1098 BS
